GEOID,latitude,longitude,job_gravity,rail_gravity,park_gravity,crime_gravity,crime_trend,building_permit_gravity,building_permit_trend,gentrifying
17031010501,42.00941197941639,-87.66395828856929,0.9473700630328696,1.9822968676752326,0.5891151675818793,-0.17608329069814066,-1.4659537689126358,0.5042885913327986,-0.8388576047211163,0
17031010502,42.0045173035446,-87.66332730761061,1.2594469468501646,0.9537744383839692,0.28776625296616287,-0.38185244519733896,-1.2174207923507465,0.7447930562376601,-0.6542366174862568,0
17031010503,42.00032071943176,-87.66312616252857,1.4435737109226323,2.1321493100432702,-0.372676292068917,-0.6216238509791026,-1.0893307198150035,1.3568425376742859,-0.5540137958444766,0
17031010600,42.006277592259664,-87.66768304345422,1.3399102263241414,1.3446120468791294,-0.3529140955470818,0.0030198536439601806,-1.2885394594899944,0.7993368203639428,-0.6094000920149341,0
17031010702,42.00902000083221,-87.67272571906952,1.2348610992349776,0.16022323567386554,-0.25225648732005757,-0.04447039083059594,-1.3841290658599519,0.10212686563834816,-0.5434640251453414,0
17031020400,42.00848802720408,-87.68591186055112,-0.1129496124633531,-0.38338824391303533,0.578822535167722,-1.3355790985427143,-1.4729636733797662,-0.1864555615658124,-0.42653739989659717,0
17031020500,42.00131289158897,-87.68419821922032,0.14664718200334517,-0.36309707142938574,1.3454530061021217,-1.2174750994125596,-1.1141840174711923,-0.3964442297592452,-0.2621368065017457,0
17031020601,42.00087462082873,-87.70180243003573,0.8484572718045628,-0.5212331560731509,-0.30767144645098254,-1.2354090657214942,-1.4036293455594235,-0.10340582618854036,-0.31048992220611393,0
17031020901,41.994226772544216,-87.68607836963908,0.43199084683168865,-0.3664411627515131,-0.10457670803547521,-0.7596384071044094,-0.8613176454205308,0.10514566739342035,0.004244903651408304,0
17031020902,41.9942585533898,-87.67868411278651,0.6295706677525269,-0.2881563450458091,0.26909355459874407,-1.057969841231878,-0.8351898196794096,-0.19825819437197678,-0.030041851120779686,0
17031030300,41.99438754677297,-87.67253479486904,0.9321726075153602,-0.14678009121427119,-0.09339411348573627,-1.018576831488192,-0.8999358463939942,0.6798423216811207,-0.14433103369474007,0
17031030603,41.98547624568192,-87.6583978883589,0.9151994899418262,2.9822673841782987,-0.3602127980003136,0.1145743476980944,-1.0147708268464366,1.9884687828728678,-0.3685136610513552,0
17031030701,41.98274528879208,-87.65796585953574,1.1809391608642492,5.718397063365125,-0.4139848494470111,0.07937048021130923,-1.0488007267141417,1.6476182731769378,-0.3579638903522204,0
17031030703,41.97887487981331,-87.65787077928275,1.0348799377051332,5.791849967470402,0.6220233416500165,-0.18007882646086032,-1.083212985007326,1.310710702658418,-0.29994015150697917,0
17031031200,41.97270924310773,-87.65734101661396,1.2853879003841189,5.181392626071308,-0.22900015473193988,0.5519815025943599,-1.1195370354279097,2.155754293662828,-0.06608690100949055,0
17031031501,41.967288567444776,-87.65243426432009,0.8863130687587362,0.5621306253900445,0.203291279266711,0.16855190274535017,-1.3034514380837081,1.3056614527633073,-0.11883575450516469,0
17031031502,41.96363265817101,-87.65236559117236,1.104334572172334,0.49967239080392817,0.6010293864964884,0.5261044501478208,-1.2531075787288632,1.9912170414415769,-0.16806801776779384,0
17031031700,41.96544661947016,-87.66319544208935,0.9542283744541927,0.7828345140671137,-0.0071264358104013836,0.3785016796755066,-0.9776820595748928,1.643909676368738,0.18359100553670094,1
17031032100,41.95815388295837,-87.65301789121115,0.6088361876552117,0.6353391652872002,-0.18983283984774998,0.012131675598235936,-1.2522154090694109,2.00909299826022,-0.09246132775732763,0
17031061800,41.94649014196905,-87.64711464642782,0.9230692284024967,0.2769900255444068,-0.2604518536920918,0.15588487144713858,-1.1920576834605843,3.417001028102629,-0.5144521557227207,0
