GEOID,poverty_population_diff,median_household_income_diff,median_gross_rent_2010_on_2020,median_gross_rent_diff,median_home_value_diff,bachelors_or_higher_diff,median_household_income_2010_on_2020,median_household_income_2020,gentrification_score
17031200402,863.0,28225.0,801.0,165.0,-53400.0,418.0,37420.0,65645.0,-0.43156339772863583
17031210400,-417.0,8177.0,831.0,285.0,-29100.0,30.0,39167.0,47344.0,-0.029592168005247665
17031210501,-1235.0,15710.0,850.0,324.0,9000.0,471.0,35581.0,51291.0,3.4573255200132866
17031210502,-540.0,21926.0,848.0,293.0,20400.0,580.0,42067.0,63993.0,3.1918370174744624
17031210601,-7.0,35871.0,938.0,231.0,62600.0,794.0,42238.0,78109.0,4.228288618007226
17031210700,-419.0,27700.0,931.0,332.0,145800.0,372.0,45586.0,73286.0,4.8856991270393335
17031220602,-224.278533106376,20164.732865053546,761.4262997996165,503.57370020038354,63344.726465708576,451.45584021029487,36470.26713494646,56635.0,3.936245424609768
17031220701,-518.0,21892.0,852.0,530.0,17700.0,370.0,40557.0,62449.0,3.7220401381541066
17031220702,719.0,20478.0,925.0,222.0,115400.0,674.0,43116.0,63594.0,2.6108014316925354
17031220901,-37.0,14233.0,852.0,333.0,-300.0,383.0,42083.0,56316.0,1.3745299478689064
17031220902,-125.0,27811.0,881.0,279.0,95900.0,366.0,33925.0,61736.0,3.4930441694105996
17031221000,-273.0,46226.0,948.0,257.0,53300.0,323.0,37069.0,83295.0,4.095750096768214
17031221100,-1065.0,34773.0,899.0,367.0,24700.0,919.0,40158.0,74931.0,6.04508675122325
17031221300,90.0,31972.0,806.0,456.0,207600.0,528.0,38737.0,70709.0,6.336335544071405
17031221500,-231.0,25766.0,821.0,320.0,175200.0,634.0,40000.0,65766.0,5.520486682866212
17031222600,82.0,42586.0,774.0,443.0,70100.0,407.0,35174.0,77760.0,4.6983283156284585
17031222700,-661.0,24283.0,882.0,337.0,15900.0,418.0,43000.0,67283.0,3.2554942601605017
17031222800,224.0,55034.0,735.0,406.0,-91100.0,220.0,17091.0,72125.0,2.3500360517003704
17031222900,-540.0,32639.0,833.0,407.0,21300.0,15.0,38216.0,70855.0,3.042892787913771
17031230100,153.0,30149.0,914.0,394.0,175100.0,529.0,46101.0,76250.0,5.363860298400137
17031230300,37.0,7964.0,900.0,228.0,-41000.0,109.0,38911.0,46875.0,-0.9229139448570335
17031230400,-303.77288230766044,19125.479769098223,885.6189534447836,195.3810465552164,53433.15140511014,280.6161427617198,38074.52023090178,57200.0,1.9372782635802874
17031230500,-430.2491298635555,9052.878515755034,858.1841399782146,-162.1841399782146,-31337.184126189968,210.66107520697133,26554.121484244966,35607.0,-1.6626005112068454
17031230600,417.249129863556,8463.121484244963,945.8158600217854,129.1841399782146,-55562.81587381003,277.3389247930287,35064.87851575504,43528.0,-1.6794830040235469
17031230700,263.77288230766044,8320.520230901777,909.3810465552164,280.61895344478364,-9633.15140511014,149.3838572382802,34556.47976909822,42877.0,-0.4096666808954595
17031230900,-963.0,20135.0,944.0,277.0,-5600.0,309.0,34988.0,55123.0,2.530339794502711
17031231200,-651.0,9358.0,930.0,107.0,-53600.0,193.0,23090.0,32448.0,-0.4180504160681086
17031231500,449.0,8159.0,819.0,187.0,-14300.0,410.0,18878.0,27037.0,-0.5384483533507454
17031240700,86.0,43646.0,831.0,504.0,126900.0,501.0,41250.0,84896.0,6.111850786294632
17031240800,-526.1648460304209,33506.23782542023,809.7177332930721,386.2822667069279,223673.5844923237,236.7441991272788,32743.762174579773,66250.0,6.467755943333441
17031240900,-115.0,24984.0,935.0,333.0,29200.0,243.0,31579.0,56563.0,2.2743247687020123
17031241000,-626.0,54036.0,799.0,691.0,-1600.0,575.0,24167.0,78203.0,7.014113519199077
17031242000,198.0,85187.0,860.0,753.0,132100.0,1715.0,43606.0,128793.0,13.028490021142755
17031242600,420.0,37791.0,921.0,475.0,128600.0,827.0,38682.0,76473.0,5.960727575266089
